order_id,store_id,business_day,daypart,service_mode,menu_item,menu_modifier,unit_quantity,unit_price,unit_discount,tax,total_amount,payment_type
(120080,201,'2025-04-28','Lunch','Dine-In','Chicken Sandwich Combo','Gluten-Free Bun',1,8.88,0,0.84,10.72,'Cash'),
(120081,402,'2025-05-31','Dinner','Takeout','Double Cheeseburger','None',1,5.89,0,0.5,6.39,'Card'),
(120082,401,'2025-06-06','Breakfast','Drive-Thru','Egg Muffin','Sausage Patty',1,3.61,0,0.36,5.17,'Card'),
(120083,501,'2025-07-30','Breakfast','Drive-Thru','Coffee','None',1,1.79,0,0.12,1.91,'Card'),
(120084,402,'2025-08-07','Afternoon','Dine-In','Onion Rings','Small Size',1,2.91,0,0.17,2.78,'Card'),
(120085,403,'2025-06-21','Lunch','Takeout','Double Cheeseburger Combo','None',1,9.74,0,0.63,10.37,'Card'),
(120086,103,'2025-05-14','Dinner','Delivery','Cheeseburger','None',1,4.8,0,0.29,5.09,'MobilePay'),
(120087,403,'2025-08-05','Lunch','Drive-Thru','Spicy Chicken Combo','None',1,9.45,0,0.8,10.25,'Card'),
(120088,402,'2025-04-29','Lunch','Drive-Thru','Chicken Sandwich Combo','Add Jalapenos',1,8.73,0,0.73,9.86,'Card'),
(120089,301,'2025-05-08','Lunch','Dine-In','Chicken Nuggets (10pc),','None',1,5.16,0,0.36,5.52,'GiftCard'),
(120090,102,'2025-05-19','Morning','Drive-Thru','Coffee','Extra Ice',1,1.91,0,0.13,2.04,'Card'),
(120091,103,'2025-06-21','Lunch','Dine-In','Iced Tea','None',2,2.02,0,0.26,4.3,'Card'),
(120092,301,'2025-05-11','Afternoon','Dine-In','Chicken Nuggets (10pc),','None',2,4.76,0,0.76,10.28,'Card'),
(120093,101,'2025-05-28','Lunch','Drive-Thru','Onion Rings','None',1,3.05,0,0.27,3.32,'Card'),
(120094,102,'2025-05-14','Lunch','Drive-Thru','Chicken Sandwich Combo','No Onions',1,8.79,0,0.53,9.32,'Card'),
(120095,201,'2025-04-11','Lunch','Dine-In','Chicken Sandwich Combo','None',1,8.26,0,0.78,9.04,'Cash'),
(120096,501,'2025-04-13','Lunch','Dine-In','Chicken Sandwich Combo','Add Bacon',1,9.14,0,0.61,10.75,'Card'),
(120097,401,'2025-07-31','Lunch','Takeout','Spicy Chicken Sandwich','None',2,5.74,0,0.92,12.4,'Card'),
(120098,402,'2025-06-13','Breakfast','Dine-In','Latte','Light Ice',1,3.24,0,0.26,3.5,'MobilePay'),
(120099,402,'2025-04-11','Breakfast','Drive-Thru','Sausage Biscuit','None',1,2.98,0,0.27,3.25,'Not Registered'),
(120100,301,'2025-06-24','Dinner','Delivery','Chicken Sandwich Combo','None',1,8.28,0,0.62,8.9,'Card'),
(120101,301,'2025-06-27','Dinner','Dine-In','Cheeseburger Combo','None',1,8.28,0,0.75,9.03,'Card'),
(120102,301,'2025-05-23','Breakfast','Drive-Thru','Breakfast Burrito','Sausage Patty',1,3.65,0.73,0.27,4.39,'Card'),
(120103,101,'2025-07-07','Afternoon','Takeout','Chicken Nuggets (6pc),','None',1,3.54,0,0.3,3.84,'Card'),
(120104,101,'2025-06-17','Lunch','Dine-In','Chicken Sandwich Combo','No Pickles',1,8.91,0,0.85,9.76,'Card'),
(120105,403,'2025-06-25','Lunch','Dine-In','Chicken Sandwich Combo','None',3,9.19,0,2.07,29.64,'Card'),
(120106,202,'2025-05-28','Lunch','Drive-Thru','French Fries','None',1,3.17,0,0.25,3.42,'GiftCard'),
(120107,202,'2025-05-12','Dinner','None','Spicy Chicken Sandwich','Add Jalapenos',1,5.71,0,0.4,6.51,'Card'),
(120108,403,'2025-07-20','Late Night','Drive-Thru','Onion Rings','No Sauce',1,3.21,0,0.21,3.42,'Card'),
(120109,103,'2025-04-24','Lunch','Dine-In','Double Cheeseburger Combo','None',1,9.95,0,0.75,10.7,'Not Registered'),
(120110,202,'2025-05-19','Lunch','Drive-Thru','Chicken Sandwich','None',1,4.69,0,0.35,5.04,'Not Registered'),
(120111,201,'2025-04-22','Breakfast','Drive-Thru','Egg Muffin','None',3,3.23,0,0.7,10.39,'Card'),
(120112,501,'2025-08-08','Dinner','Delivery','Double Cheeseburger','None',1,5.77,0,0.43,6.2,'Card'),
(120113,103,'2025-06-12','Lunch','Takeout','Chicken Sandwich Combo','Add Bacon',1,10.22,0,0.73,11.95,'Card'),
(120114,403,'2025-07-15','Dinner','Drive-Thru','Spicy Chicken Combo','None',1,9.19,0,0.83,10.02,'Card'),
(120115,402,'2025-07-01','Afternoon','Dine-In','French Fries','None',1,2.73,0,0.26,2.99,'Card'),
(120116,401,'2025-07-23','Breakfast','Drive-Thru','Bottled Water','None',1,1.44,0,0.17,1.91,'Card'),
(120117,103,'2025-07-12','Dinner','Drive-Thru','Spicy Chicken Combo','None',1,8.71,0,0.78,9.49,'Card'),
(120118,401,'2025-04-12','Afternoon','Dine-In','Soft Drink (Medium),','No Ice',1,1.84,0.37,0.11,1.58,'Cash'),
(120119,201,'2025-05-08','Dinner','Drive-Thru','Chicken Sandwich','Add Jalapenos',1,5.67,0,0.36,6.43,'Cash'),
(120120,403,'2025-06-26','Lunch','Dine-In','Double Cheeseburger','None',1,6.07,0,0.44,6.51,'Card'),
(120121,401,'2025-07-23','Lunch','Dine-In','Chicken Nuggets (10pc),','None',1,4.69,0,0.34,5.03,'Cash'),
(120122,501,'2025-05-30','Dinner','Drive-Thru','Iced Tea','None',2,2.08,0,0.27,4.43,'Card'),
(120123,401,'2025-05-31','Dinner','Takeout','Veggie Burger','None',1,4.75,0,0.31,5.06,'Cash'),
(120124,301,'2025-05-29','Lunch','Dine-In','Chicken Sandwich Combo','Gluten-Free Bun',1,9.28,0,0.87,11.15,'Cash'),
(120125,402,'2025-05-19','Late Night','Drive-Thru','Double Cheeseburger','None',1,6.65,0,0.4,7.05,'Card'),
(120126,101,'2025-04-24','Lunch','Dine-In','Cheeseburger Combo','None',1,7.99,0,0.72,8.71,'Not Registered'),
(120127,202,'2025-07-04','Lunch','Delivery','Chicken Nuggets (10pc),','None',3,4.8,0,1.04,15.44,'Card'),
(120128,301,'2025-06-12','Late Night','Takeout','Cheeseburger','None',1,4.52,0.9,0.31,3.93,'MobilePay'),
(120129,401,'2025-06-28','Afternoon','Drive-Thru','French Fries','Extra Sauce',1,2.5,0,0.21,2.96,'MobilePay'),
(120130,201,'2025-05-05','Afternoon','Drive-Thru','Iced Tea','Sugar-Free Syrup',1,1.68,0,0.17,2.15,'Card'),
(120131,301,'2025-06-15','Breakfast','Takeout','Milkshake','Almond Milk',1,4.01,0,0.42,5.13,'Cash'),
(120132,401,'2025-05-22','Breakfast','Drive-Thru','Egg Muffin','None',1,2.97,0,0.19,3.16,'Card'),
(120133,102,'2025-06-13','Morning','Dine-In','Soft Drink (Medium),','Sugar-Free Syrup',1,1.78,0,0.14,2.22,'Cash'),
(120134,401,'2025-07-06','Breakfast','Dine-In','Hash Browns','None',1,1.71,0,0.12,1.83,'Card'),
(120135,101,'2025-06-28','Late Night','Delivery','Soft Drink (Large),','Oat Milk',1,2.14,0,0.21,3.05,'Card'),
(120136,402,'2025-05-01','Late Night','Takeout','Spicy Chicken Sandwich','None',1,5.34,0,0.6,6.94,'Cash'),
(120137,102,'2025-04-30','Dinner','Dine-In','Spicy Chicken Sandwich','None',1,5.52,0,0.5,6.02,'Card'),
(120138,401,'2025-04-30','Lunch','Drive-Thru','Chicken Nuggets (10pc),','None',1,5.26,0,0.37,5.63,'Card'),
(120139,301,'2025-06-15','Late Night','Takeout','French Fries','None',1,2.29,0,0.19,2.18,'Cash'),
(120140,102,'2025-04-11','Breakfast','Takeout','Hash Browns','Cinnamon',1,1.94,0,0.18,2.22,'Card'),
(120141,102,'2025-07-19','Afternoon','Dine-In','Soft Drink (Medium),','Light Ice',2,1.85,0,0.26,3.96,'Card'),
(120142,501,'2025-08-09','Lunch','Drive-Thru','Cheeseburger','None',2,3.95,0,0.63,8.53,'Cash'),
(120143,301,'2025-05-23','Afternoon','Takeout','Iced Tea','Almond Milk',1,1.91,0,0.17,2.78,'MobilePay'),
(120144,103,'2025-06-17','Lunch','Takeout','Chicken Sandwich Combo','No Onions',1,9.12,0,0.64,9.76,'Card'),
(120145,402,'2025-04-27','Breakfast','Drive-Thru','Breakfast Burrito','Cinnamon',1,3.94,0.2,0.28,4.12,'Card'),
(120146,402,'2025-07-26','Lunch','Takeout','Chicken Sandwich Combo','Extra Patty',1,8.37,0,0.67,11.04,'GiftCard'),
(120147,202,'2025-04-27','Lunch','Drive-Thru','Chicken Sandwich','None',1,4.91,0,0.42,5.33,'Cash'),
(120148,301,'2025-05-25','Lunch','Dine-In','Soft Drink (Medium),','Almond Milk',2,1.78,0,0.42,5.38,'Cash'),
(120149,201,'2025-06-29','Breakfast','Drive-Thru','Breakfast Burrito','None',1,3.81,0,0.25,4.06,'Card'),
(120150,402,'2025-08-09','Lunch','Delivery','French Fries','Extra Sauce',1,2.71,0,0.21,3.17,'Card'),
(120151,402,'2025-04-17','Dinner','Delivery','Cheeseburger','None',1,4.61,0,0.39,5,'MobilePay'),
(120152,202,'2025-06-24','Breakfast','Drive-Thru','Egg Muffin','No Cheese',1,3.07,0.15,0.18,3.1,'Cash'),
(120153,101,'2025-04-27','Afternoon','Delivery','French Fries','None',2,2.71,0,0.43,5.85,'Card'),
(120154,103,'2025-05-29','Breakfast','Dine-In','Hash Browns','None',1,1.95,0,0.15,2.2,'Card'),
(120155,401,'2025-07-23','Lunch','Dine-In','Chicken Sandwich Combo','No Pickles',2,8.63,0,1.29,18.55,'Cash'),
(120156,201,'2025-07-26','Lunch','Takeout','Soft Drink (Medium),','Extra Ice',1,1.9,0,0.16,2.06,'Cash'),
(120157,101,'2025-08-08','Afternoon','Drive-Thru','Onion Rings','None',2,3.27,0,0.56,7.1,'MobilePay'),
(120158,202,'2025-04-14','Breakfast','Delivery','Pancake Platter','None',1,4.59,0,0.41,6,'Card'),
(120159,202,'2025-05-17','Afternoon','Dine-In','Chicken Nuggets (6pc),','None',1,3.9,0,0.29,4.19,'Card'),
(120160,101,'2025-06-16','Lunch','Dine-In','Chicken Sandwich Combo','Add Jalapenos',1,8.5,0,0.62,9.52,'GiftCard'),
(120161,201,'2025-08-09','Dinner','Dine-In','Veggie Burger','No Onions',2,5.52,0,1.05,12.09,'Card'),
(120162,301,'2025-07-31','Morning','Delivery','Coffee','No Ice',2,2.12,0.85,0.25,3.64,'Card'),
(120163,202,'2025-07-02','Afternoon','Takeout','Soft Drink (Medium),','None',2,1.67,0,0.24,3.58,'Cash'),
(120164,101,'2025-08-09','Late Night','Drive-Thru','French Fries','None',1,2.91,0.29,0.2,2.82,'Card'),
(120165,301,'2025-05-06','Lunch','Takeout','Veggie Burger','No Pickles',1,5.38,0,0.39,5.77,'Cash'),
(120166,301,'2025-07-06','Lunch','Dine-In','Double Cheeseburger','None',1,6.08,0,0.4,6.48,'MobilePay'),
(120167,102,'2025-04-28','Breakfast','Drive-Thru','Hash Browns','No Cheese',1,2.27,0,0.18,2.45,'Cash'),
(120168,401,'2025-05-30','Dinner','Dine-In','Double Cheeseburger','None',1,5.64,0,0.41,6.05,'MobilePay'),
(120169,202,'2025-07-31','Dinner','Drive-Thru','Double Cheeseburger','None',2,5.43,0,0.65,11.51,'Card'),
(120170,402,'2025-05-14','Breakfast','Dine-In','Hash Browns','Extra Egg',1,1.71,0,0.2,2.91,'Card'),
(120171,401,'2025-04-18','Morning','Takeout','Bottled Water','Sugar-Free Syrup',1,1.37,0,0.16,1.83,'Card'),
(120172,202,'2025-06-10','Breakfast','Drive-Thru','Egg Muffin','None',1,3.22,0,0.19,3.41,'Card'),
(120173,103,'2025-05-26','Breakfast','Drive-Thru','Egg Muffin','No Cheese',1,3.33,0,0.3,3.63,'MobilePay'),
(120174,101,'2025-08-09','Lunch','Dine-In','Spicy Chicken Combo','None',2,9.43,0,1.13,19.99,'Card'),
(120175,301,'2025-06-23','Late Night','Delivery','Milkshake','None',1,4.27,0,0.38,5.15,'Card'),
(120176,201,'2025-04-27','Afternoon','Delivery','Chicken Nuggets (10pc),','None',2,4.99,0,0.6,10.58,'Card'),
(120177,102,'2025-07-22','Dinner','Dine-In','Chicken Sandwich','Extra Cheese',2,5.92,0,1.03,13.87,'GiftCard'),
(120178,102,'2025-08-03','Dinner','Takeout','Cheeseburger Combo','None',1,8.36,0,0.75,9.11,'Card'),
(120179,101,'2025-06-30','Lunch','Dine-In','Chicken Sandwich','None',2,6.39,0,1.02,13.8,'MobilePay'),
(120180,103,'2025-06-15','Afternoon','Takeout','Onion Rings','None',2,3.32,0,0.43,7.07,'GiftCard'),
(120181,401,'2025-04-26','Breakfast','Takeout','Hash Browns','Extra Egg',1,1.72,0,0.23,2.95,'Card'),
(120182,301,'2025-06-23','Dinner','Dine-In','Chicken Sandwich','None',1,5,0,0.32,5.32,'Card'),
(120183,403,'2025-06-21','Breakfast','Drive-Thru','Breakfast Burrito','None',1,3.86,0,0.23,4.09,'MobilePay'),
(120184,102,'2025-06-13','Late Night','Drive-Thru','Spicy Chicken Sandwich','Extra Sauce',1,5.55,0,0.41,6.21,'Card'),
(120185,401,'2025-05-31','Lunch','Takeout','Cheeseburger','None',1,4.73,0,0.31,5.04,'MobilePay'),
(120186,102,'2025-07-28','Afternoon','Drive-Thru','French Fries','Extra Sauce',1,2.77,0,0.21,3.23,'MobilePay'),
(120187,201,'2025-06-10','Breakfast','Dine-In','Sausage Biscuit','None',1,3.02,0,0.2,3.22,'MobilePay'),
(120188,301,'2025-06-17','Morning','Dine-In','Egg Muffin','None',2,3.03,0,0.59,9.05,'MobilePay'),
(120189,501,'2025-07-16','Breakfast','Dine-In','Soft Drink (Small),','Extra Ice',1,1.41,0,0.12,1.53,'Card'),
(120190,103,'2025-06-10','Late Night','Drive-Thru','Soft Drink (Large),','None',1,1.95,0.2,0.13,1.88,'Card'),
(120191,101,'2025-07-24','Lunch','Dine-In','French Fries','None',3,2.88,0,0.73,9.37,'Card'),
(120192,403,'2025-06-20','Dinner','Drive-Thru','Double Cheeseburger Combo','None',1,10.1,0,0.66,10.76,'GiftCard'),
(120193,202,'2025-06-04','Morning','Drive-Thru','Hash Browns','No Cheese',1,1.64,0,0.12,1.76,'Cash'),
(120194,501,'2025-06-27','Dinner','Delivery','Onion Rings','No Sauce',2,3.19,0,0.61,6.99,'Card'),
(120195,103,'2025-04-16','Late Night','Takeout','Bottled Water','Extra Ice',1,1.47,0,0.13,1.6,'Card'),
(120196,102,'2025-07-16','Lunch','Takeout','Cheeseburger','None',1,4.2,0,0.36,4.56,'Card'),
(120197,103,'2025-06-08','Dinner','Dine-In','Cheeseburger Combo','None',1,8.57,0,0.6,9.17,'Card'),
(120198,401,'2025-06-09','Lunch','Takeout','Soft Drink (Medium),','Oat Milk',1,1.74,0,0.18,2.62,'Cash'),
(120199,202,'2025-04-26','Breakfast','Takeout','Breakfast Burrito','No Cheese',1,3.45,0,0.28,3.73,'Cash'),
(120200,201,'2025-07-24','Dinner','Delivery','Veggie Burger','No Pickles',1,5.37,0,0.51,5.88,'Card'),
(120201,101,'2025-06-17','Afternoon','Takeout','Chicken Nuggets (10pc),','None',1,5.18,0,0.34,5.52,'Card'),
(120202,102,'2025-05-22','Lunch','Drive-Thru','Chicken Sandwich Combo','Add Jalapenos',3,9.53,0,2.53,32.32,'Card'),
(120203,301,'2025-08-08','Morning','Drive-Thru','Coffee','None',1,2.1,0,0.14,2.24,'Cash'),
(120204,101,'2025-07-18','Breakfast','Takeout','Sausage Biscuit','None',2,2.7,0,0.32,5.72,'Cash'),
(120205,501,'2025-05-08','Morning','Takeout','Bottled Water','Sugar-Free Syrup',1,1.36,0,0.14,1.8,'Card'),
(120206,103,'2025-04-15','Breakfast','Drive-Thru','Pancake Platter','Extra Egg',2,5.16,0,0.86,13.18,'Card'),
(120207,301,'2025-04-20','Breakfast','Drive-Thru','Hash Browns','Sausage Patty',1,1.99,0,0.21,3.4,'Cash'),
(120208,103,'2025-05-30','Dinner','Drive-Thru','Cheeseburger Combo','None',1,8.75,0,0.7,9.45,'Card'),
(120209,401,'2025-07-30','Dinner','Delivery','Cheeseburger Combo','None',3,9.99,0,1.8,31.77,'Card'),
(120210,501,'2025-05-20','Late Night','Drive-Thru','French Fries','None',2,2.8,0,0.5,6.1,'Cash'),
(120211,402,'2025-05-04','Breakfast','Takeout','French Fries','None',1,2.96,0,0.18,3.14,'MobilePay'),
(120212,202,'2025-07-16','Afternoon','Takeout','Side Salad','None',1,3.05,0,0.2,3.25,'Card'),
(120213,402,'2025-05-07','Breakfast','Takeout','Soft Drink (Small),','None',2,1.59,0,0.22,3.4,'Cash'),
(120214,401,'2025-04-14','Late Night','Drive-Thru','French Fries','None',1,2.55,0,0.24,2.79,'GiftCard'),
(120215,201,'2025-05-22','Morning','Drive-Thru','Egg Muffin','No Cheese',1,3.43,0,0.27,3.7,'Card'),
(120216,401,'2025-04-17','Afternoon','Drive-Thru','Soft Drink (Medium),','None',1,1.68,0,0.12,1.8,'Cash'),
(120217,101,'2025-07-03','Afternoon','Dine-In','Chicken Nuggets (10pc),','None',2,4.91,0,0.93,10.75,'MobilePay'),
(120218,101,'2025-06-21','Dinner','Dine-In','Cheeseburger','None',1,4.33,0,0.39,4.72,'Cash'),
(120219,403,'2025-07-15','Dinner','None','Chicken Sandwich','None',1,5.42,0,0.46,5.88,'Cash'),
(120220,402,'2025-07-21','Dinner','Takeout','Onion Rings','None',1,3.8,0,0.3,4.1,'Card'),
(120221,403,'2025-06-01','Breakfast','Takeout','Pancake Platter','None',1,4.37,0,0.42,4.79,'MobilePay'),
(120222,301,'2025-04-16','Lunch','Drive-Thru','Double Cheeseburger Combo','None',1,10.33,0,0.62,10.95,'Card'),
